time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-19 00:00:00+00:00,47,12,0,0
2026-06-20 00:00:00+00:00,44,11,0,0
2026-06-21 00:00:00+00:00,19,6,0,0
2026-06-22 00:00:00+00:00,33,8,0,0
2026-06-23 00:00:00+00:00,39,11,0,0
2026-06-24 00:00:00+00:00,39,9,0,0
2026-06-25 00:00:00+00:00,25,5,0,0
2026-06-26 00:00:00+00:00,15,6,0,0
2026-06-27 00:00:00+00:00,16,7,0,0
2026-06-28 00:00:00+00:00,8,4,0,0
2026-06-29 00:00:00+00:00,21,7,0,0
2026-06-30 00:00:00+00:00,3,2,0,0
2026-07-01 00:00:00+00:00,7,2,0,0
2026-07-02 00:00:00+00:00,22,8,0,0
