time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,35,7,0,0
2026-05-03 00:00:00+00:00,16,6,0,0
2026-05-04 00:00:00+00:00,21,7,0,0
2026-05-05 00:00:00+00:00,21,6,0,0
2026-05-06 00:00:00+00:00,19,5,0,0
2026-05-07 00:00:00+00:00,17,7,0,0
2026-05-08 00:00:00+00:00,21,7,0,0
2026-05-09 00:00:00+00:00,29,8,0,0
2026-05-10 00:00:00+00:00,9,4,0,0
2026-05-11 00:00:00+00:00,8,3,0,0
2026-05-12 00:00:00+00:00,34,7,0,0
2026-05-13 00:00:00+00:00,16,4,0,0
2026-05-14 00:00:00+00:00,24,7,0,0
2026-05-15 00:00:00+00:00,8,3,0,0
